URL,SHA,Test Count,Module Name,Test Name,Category,Version
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,125,hadoop/hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.util.TestKerberosName.testRules,OD,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.registry.client.binding.TestRegistryOperationUtils.testUsernameExtractionEnvVarOverrride,OD,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.registry.client.impl.TestCuratorService.testRM,NO,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.registry.secure.TestSecureLogins.testDefaultRealmValid,NO,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.registry.secure.TestSecureLogins.testKerberosRulesValid,OD,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.registry.secure.TestSecureLogins.testUGILogin,NO,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.yarn.server.timeline.TestEntityGroupFSTimelineStore.testCleanLogs,OD,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.yarn.server.timeline.TestEntityGroupFSTimelineStore.testGetEntityPluginRead,NO,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.yarn.server.timeline.TestEntityGroupFSTimelineStore.testMoveToDone,NO,Comprehensive
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,22,hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage,org.apache.hadoop.yarn.server.timeline.TestEntityGroupFSTimelineStore.testParseSummaryLogs,NO,Comprehensive
